genome,host,date,completeness,geo,spc,is_host_adapted,is_human_infection,temp_22,temp_25,temp_37,opt_temp,opt_ph,growth_rate,ref
GCF_001345275.1,Homo sapiens,01/07/2004,95.83,Uganda: Kampala,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001393055.1,Homo sapiens,2006,95.83,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001395715.1,Homo sapiens,2007,95.83,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_031625265.1,Homo sapiens,Missing,95.84,India: Assam,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_031625265.1,Homo sapiens,Missing,95.84,India: Assam,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_001393455.1,Homo sapiens,2007,95.85,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_001397855.1,Homo sapiens,2006,95.85,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_003392305.1,Homo sapiens,2011/2014,95.85,South Africa: Kwa-Zulu Natal,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_023864795.1,Homo sapiens,2018,95.85,Malaysia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001393455.1,Homo sapiens,2007,95.85,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001397855.1,Homo sapiens,2006,95.85,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_003392305.1,Homo sapiens,2011/2014,95.85,South Africa: Kwa-Zulu Natal,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_023864795.1,Homo sapiens,2018,95.85,Malaysia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_001392255.1,Homo sapiens,2007,95.88,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_001396835.1,Homo sapiens,2007,95.88,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001392255.1,Homo sapiens,2007,95.88,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001396835.1,Homo sapiens,2007,95.88,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_900169585.1,,,95.91,,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_900169585.1,,,95.91,,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_001328455.1,Homo sapiens,2006,95.92,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_001391455.1,Homo sapiens,2006,95.92,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_030566675.1,Homo sapiens,2021,95.92,Oman,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001328455.1,Homo sapiens,2006,95.92,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001391455.1,Homo sapiens,2006,95.92,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_030566675.1,Homo sapiens,2021,95.92,Oman,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_001392315.1,Homo sapiens,2000,95.93,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001392315.1,Homo sapiens,2000,95.93,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_001396595.1,Homo sapiens,2002,95.94,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001396595.1,Homo sapiens,2002,95.94,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_001200255.1,Homo sapiens,1999-021999,95.95,Netherlands: Amsterdam,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_001757405.1,Homo sapiens,01/01/2012,95.95,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001200255.1,Homo sapiens,1999-021999,95.95,Netherlands: Amsterdam,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001757405.1,Homo sapiens,01/01/2012,95.95,Peru: Lima,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_001394995.1,Homo sapiens,2004,95.96,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_018109145.1,Homo sapiens,2009,95.96,Malaysia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001394995.1,Homo sapiens,2004,95.96,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_018109145.1,Homo sapiens,2009,95.96,Malaysia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_014900755.1,Homo sapiens,,95.98,India,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_014900755.1,Homo sapiens,,95.98,India,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_001116745.1,Homo sapiens,1996-091996,95.99,Netherlands: Amsterdam,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_001201335.1,Homo sapiens,1996-111996,95.99,Netherlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_001394955.1,Homo sapiens,2006,95.99,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_001396355.1,Homo sapiens,1998,95.99,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_023864205.1,Homo sapiens,2018,95.99,Malaysia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001116745.1,Homo sapiens,1996-091996,95.99,Netherlands: Amsterdam,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001201335.1,Homo sapiens,1996-111996,95.99,Netherlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001394955.1,Homo sapiens,2006,95.99,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001396355.1,Homo sapiens,1998,95.99,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_023864205.1,Homo sapiens,2018,95.99,Malaysia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_001133325.1,Homo sapiens,01/10/2005,96,Uganda: Kampala,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_001395655.1,Homo sapiens,2005,96,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001133325.1,Homo sapiens,01/10/2005,96,Uganda: Kampala,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001395655.1,Homo sapiens,2005,96,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_001392775.1,Homo sapiens,2004,96.01,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_001395755.1,Homo sapiens,2007,96.01,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_001396695.1,Homo sapiens,2007,96.01,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001392775.1,Homo sapiens,2004,96.01,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001395755.1,Homo sapiens,2007,96.01,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001396695.1,Homo sapiens,2007,96.01,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_023864955.1,Homo sapiens,2017,96.02,Malaysia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_023864955.1,Homo sapiens,2017,96.02,Malaysia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_001195845.1,Homo sapiens,1993-121993,96.03,Netherlands: Amsterdam,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_003044235.1,Homo sapiens,06/08/2016,96.03,India,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001195845.1,Homo sapiens,1993-121993,96.03,Netherlands: Amsterdam,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_003044235.1,Homo sapiens,06/08/2016,96.03,India,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_001396075.1,Homo sapiens,2005,96.04,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_001397295.1,Homo sapiens,2006,96.04,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001396075.1,Homo sapiens,2005,96.04,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001397295.1,Homo sapiens,2006,96.04,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_001169865.1,Homo sapiens,1996-101996,96.05,Netherlands: Amsterdam,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001169865.1,Homo sapiens,1996-101996,96.05,Netherlands: Amsterdam,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_001195765.1,Homo sapiens,1998-031998,96.06,Netherlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_001395315.1,Homo sapiens,2011,96.06,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_001397475.1,Homo sapiens,2002,96.06,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001195765.1,Homo sapiens,1998-031998,96.06,Netherlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001395315.1,Homo sapiens,2011,96.06,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001397475.1,Homo sapiens,2002,96.06,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_001328115.1,Homo sapiens,2008,96.07,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_001396495.1,Homo sapiens,2000,96.07,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001328115.1,Homo sapiens,2008,96.07,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001396495.1,Homo sapiens,2000,96.07,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_001395835.1,Homo sapiens,2006,96.08,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_001396435.1,Homo sapiens,2007,96.08,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_001397815.1,Homo sapiens,2005,96.08,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001395835.1,Homo sapiens,2006,96.08,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001396435.1,Homo sapiens,2007,96.08,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001397815.1,Homo sapiens,2005,96.08,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_001393375.1,Homo sapiens,2004,96.1,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_001394435.1,Homo sapiens,2008,96.1,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001393375.1,Homo sapiens,2004,96.1,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001394435.1,Homo sapiens,2008,96.1,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_001393695.1,Homo sapiens,2003,96.11,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001393695.1,Homo sapiens,2003,96.11,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_030568235.1,Homo sapiens,2021,96.12,Oman,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_030568235.1,Homo sapiens,2021,96.12,Oman,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_008761675.1,Homo sapiens,2006,96.13,New Zealand,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_008761675.1,Homo sapiens,2006,96.13,New Zealand,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_001392075.1,Homo sapiens,2004,96.14,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_001392795.1,Homo sapiens,2008,96.14,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_001393075.1,Homo sapiens,2003,96.14,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_001395055.1,Homo sapiens,2008,96.14,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001392075.1,Homo sapiens,2004,96.14,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001392795.1,Homo sapiens,2008,96.14,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001393075.1,Homo sapiens,2003,96.14,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001395055.1,Homo sapiens,2008,96.14,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_001396115.1,Homo sapiens,2008,96.15,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_002110345.1,Homo sapiens,2015-10,96.15,Pakistan: Multan,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001396115.1,Homo sapiens,2008,96.15,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_002110345.1,Homo sapiens,2015-10,96.15,Pakistan: Multan,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_001327935.1,Homo sapiens,2008,96.16,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_001391355.1,Homo sapiens,2007,96.16,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001327935.1,Homo sapiens,2008,96.16,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001391355.1,Homo sapiens,2007,96.16,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_031625275.1,Homo sapiens,30/01/2021,96.17,India: Assam,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_031625275.1,Homo sapiens,30/01/2021,96.17,India: Assam,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_003394165.1,Homo sapiens,2011/2014,96.18,South Africa: Kwa-Zulu Natal,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_003394165.1,Homo sapiens,2011/2014,96.18,South Africa: Kwa-Zulu Natal,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_001328255.1,Homo sapiens,2009,96.19,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_900120835.1,Homo sapiens,2008,96.19,Peru,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001328255.1,Homo sapiens,2009,96.19,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_900120835.1,Homo sapiens,2008,96.19,Peru,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_001318825.1,Homo sapiens,2004-052004,96.2,Netherlands: Amsterdam,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_001392375.1,Homo sapiens,2007,96.2,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_001393215.1,Homo sapiens,2008,96.2,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_001998065.1,,,96.2,,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001318825.1,Homo sapiens,2004-052004,96.2,Netherlands: Amsterdam,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001392375.1,Homo sapiens,2007,96.2,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001393215.1,Homo sapiens,2008,96.2,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001998065.1,,,96.2,,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_001392955.1,Homo sapiens,2007,96.22,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_014900195.1,Homo sapiens,,96.22,Moldova,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001392955.1,Homo sapiens,2007,96.22,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_014900195.1,Homo sapiens,,96.22,Moldova,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_001206975.1,Homo sapiens,2001-122001,96.23,Netherlands: Amsterdam,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_001391895.1,Homo sapiens,2008,96.23,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_006379265.1,Homo sapiens,2010,96.23,Malaysia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001206975.1,Homo sapiens,2001-122001,96.23,Netherlands: Amsterdam,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001391895.1,Homo sapiens,2008,96.23,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_006379265.1,Homo sapiens,2010,96.23,Malaysia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_001395395.1,Homo sapiens,2008,96.24,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_001395995.1,Homo sapiens,2007,96.24,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_001397975.1,Homo sapiens,2008,96.24,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_001445535.1,Homo sapiens,2011,96.24,South Africa: KwaZulu-Natal,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001395395.1,Homo sapiens,2008,96.24,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001395995.1,Homo sapiens,2007,96.24,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001397975.1,Homo sapiens,2008,96.24,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001445535.1,Homo sapiens,2011,96.24,South Africa: KwaZulu-Natal,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_001318845.1,Homo sapiens,1994-011994,96.25,Netherlands: Amsterdam,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_001445515.1,Homo sapiens,1999,96.25,USA: New Jersey,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_003399105.1,Homo sapiens,2011/2014,96.25,South Africa: Kwa-Zulu Natal,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001318845.1,Homo sapiens,1994-011994,96.25,Netherlands: Amsterdam,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001445515.1,Homo sapiens,1999,96.25,USA: New Jersey,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_003399105.1,Homo sapiens,2011/2014,96.25,South Africa: Kwa-Zulu Natal,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_001049475.1,,,96.26,Ethiopia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001049475.1,,,96.26,Ethiopia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_001202555.1,Homo sapiens,1998-021998,96.27,Netherlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_001395475.1,Homo sapiens,2007,96.27,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001202555.1,Homo sapiens,1998-021998,96.27,Netherlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001395475.1,Homo sapiens,2007,96.27,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_001318965.1,Homo sapiens,2002-032002,96.28,Netherlands: Amsterdam,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_001388395.1,Homo sapiens,2010,96.28,Russia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_001395875.1,Homo sapiens,2003,96.28,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001318965.1,Homo sapiens,2002-032002,96.28,Netherlands: Amsterdam,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001388395.1,Homo sapiens,2010,96.28,Russia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001395875.1,Homo sapiens,2003,96.28,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_000735835.1,,2010,96.29,Korea,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_001393115.1,Homo sapiens,2006,96.29,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_001445415.1,Homo sapiens,2001,96.29,USA: New York City,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_000735835.1,,2010,96.29,Korea,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001393115.1,Homo sapiens,2006,96.29,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001445415.1,Homo sapiens,2001,96.29,USA: New York City,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_001119665.1,Homo sapiens,01/04/2004,96.3,Uganda: Kampala,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_001345135.1,Homo sapiens,01/08/2004,96.3,Uganda: Kampala,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_001390255.1,Homo sapiens,2010,96.3,Russia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_001394895.1,Homo sapiens,2008,96.3,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_001394935.1,Homo sapiens,2007,96.3,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_001566015.1,Homo sapiens,2008,96.3,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001119665.1,Homo sapiens,01/04/2004,96.3,Uganda: Kampala,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001345135.1,Homo sapiens,01/08/2004,96.3,Uganda: Kampala,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001390255.1,Homo sapiens,2010,96.3,Russia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001394895.1,Homo sapiens,2008,96.3,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001394935.1,Homo sapiens,2007,96.3,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001566015.1,Homo sapiens,2008,96.3,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_001328475.1,Homo sapiens,2006,96.31,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_001390715.1,Homo sapiens,2010,96.31,Russia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_001394535.1,Homo sapiens,2006,96.31,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_005239035.1,Homo sapiens,2003,96.31,Colombia:Antioquia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_900650615.1,,,96.31,,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001328475.1,Homo sapiens,2006,96.31,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001390715.1,Homo sapiens,2010,96.31,Russia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_001394535.1,Homo sapiens,2006,96.31,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_005239035.1,Homo sapiens,2003,96.31,Colombia:Antioquia,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCF_900650615.1,,,96.31,,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_001207555.1,Homo sapiens,2002-082002,96.32,Netherlands: Amsterdam,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_001327915.1,Homo sapiens,2008,96.32,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_001395775.1,Homo sapiens,2009,96.32,United Kingdom: Midlands,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
GCA_014900555.1,Homo sapiens,,96.32,India,tuberculosis,host adapted,Y,-,-,+,37,6.4-7.0,slow,
